Hostname,Label,Vod,Live,Situação
gca-net-maslz001,edge-claro-slz-ma,vod-01.edge-claro-slz-ma.video.globo.com,live-01.edge-claro-slz-ma.video.globo.com,Produção
gca-net-rscxl001,edge-claro-cxl-rs,vod-01.edge-claro-cxl-rs.video.globo.com,live-01.edge-claro-cxl-rs.video.globo.com,Produção
gca-net-pbjpa001,edge-claro-jpa-pb,vod-01.edge-claro-jpa-pb.video.globo.com,live-01.edge-claro-jpa-pb.video.globo.com,Produção
gca-net-rnnat001,edge-claro-nat-rn,vod-01.edge-claro-nat-rn.video.globo.com,live-01.edge-claro-nat-rn.video.globo.com,Produção
gca-net-seaju001,edge-claro-aju-se,vod-01.edge-claro-aju-se.video.globo.com,live-01.edge-claro-aju-se.video.globo.com,Produção
gca-net-rsccn001,edge-claro-ccn-rs,vod-01.edge-claro-ccn-rs.video.globo.com,live-01.edge-claro-ccn-rs.video.globo.com,Produção
gca-leste-rjita001,edge-leste-ita-rj,vod-01.edge-leste-ita-rj.video.globo.com,live-01.edge-leste-ita-rj.video.globo.com,Produção
gca-jupiter-maimp001,edge-jupiter-imp-ma,vod-01.edge-jupiter-imp-ma.video.globo.com,live-01.edge-jupiter-imp-ma.video.globo.com,Produção
gca-oi-rec002,edge-oi-ebvt-pe,vod-02.edge-oi-ebvt-pe.video.globo.com,live-02.edge-oi-ebvt-pe.video.globo.com,Produção
gca-oi-bvg001,edge-oi-ebvg-pe,vod-01.edge-oi-ebvg-pe.video.globo.com,live-01.edge-oi-ebvg-pe.video.globo.com,Produção
gca-oi-bvg002,edge-oi-ebvg-pe,vod-02.edge-oi-ebvg-pe.video.globo.com,live-02.edge-oi-ebvg-pe.video.globo.com,Produção
gca-oi-apmcp001,edge-oi-mcp-ap,vod-01.edge-oi-mcp-ap.video.globo.com,live-01.edge-oi-mcp-ap.video.globo.com,Produção
gca-oi-bassa001,edge-oi-bdea-ba,vod-01.edge-oi-bdea-ba.video.globo.com,live-01.edge-oi-bdea-ba.video.globo.com,Produção
gca-oi-bavla001,edge-oi-ssa-ba,vod-01.edge-oi-ssa-ba.video.globo.com,live-01.edge-oi-ssa-ba.video.globo.com,Produção
gca-oi-cnf001,edge-oi-hga-mg,vod-01.edge-oi-hga-mg.video.globo.com,live-01.edge-oi-hga-mg.video.globo.com,Produção
gca-oi-cnf002,edge-oi-hga-mg,vod-02.edge-oi-hga-mg.video.globo.com,live-02.edge-oi-hga-mg.video.globo.com,Produção
gca-oi-crz001,edge-oi-mpi-mg,vod-01.edge-oi-mpi-mg.video.globo.com,live-01.edge-oi-mpi-mg.video.globo.com,Produção
gca-oi-crz002,edge-oi-mpi-mg,vod-02.edge-oi-mpi-mg.video.globo.com,live-02.edge-oi-mpi-mg.video.globo.com,Produção
gca-oi-mtcgb001,edge-oi-ecox-mt,vod-01.edge-oi-ecox-mt.video.globo.com,live-01.edge-oi-ecox-mt.video.globo.com,Produção
